,personid,year_week,perform1,phonecallraw,logphonecall,treatment_experiment,treatment_post_experiment,balanced
0,3906,201002.0,0.3335296,,,0.0,0.0,1.0
1,3906,201009.0,-0.45293656,,,0.0,0.0,1.0
2,3906,201010.0,0.7595321,,,0.0,0.0,1.0
3,3906,201011.0,-0.69051486,,,0.0,0.0,1.0
4,3906,201012.0,1.6361142,,,0.0,0.0,1.0
5,3906,201013.0,-0.7847269,,,0.0,0.0,1.0
6,3906,201014.0,0.28847164,,,0.0,0.0,1.0
7,3906,201015.0,-0.4816098,,,0.0,0.0,1.0
8,3906,201016.0,0.5793002,,,0.0,0.0,1.0
9,3906,201017.0,0.28847164,,,0.0,0.0,1.0
10,3906,201019.0,0.2024519,,,0.0,0.0,1.0
11,3906,201020.0,0.34172192,,,0.0,0.0,1.0
12,3906,201021.0,0.67351234,,,0.0,0.0,1.0
13,3906,201022.0,-1.3581918,,,0.0,0.0,1.0
14,3906,201023.0,-1.17796,,,0.0,0.0,1.0
15,3906,201024.0,0.44822258,,,0.0,0.0,1.0
16,3906,201025.0,0.28027925,,,0.0,0.0,1.0
17,3906,201026.0,0.026316252,,,0.0,0.0,1.0
18,3906,201027.0,0.063181855,,,0.0,0.0,1.0
19,3906,201028.0,0.9438601,,,0.0,0.0,1.0
20,3906,201029.0,0.550627,,,0.0,0.0,1.0
21,3906,201030.0,-1.2312104,,,0.0,0.0,1.0
22,3906,201031.0,1.0626493,,,0.0,0.0,1.0
23,3906,201032.0,0.5137614,,,0.0,0.0,1.0
24,3906,201044.0,-0.23583913,,,0.0,0.0,1.0
25,3906,201047.0,-1.6490204,,,0.0,0.0,1.0
26,3906,201048.0,1.3534778,,,0.0,0.0,1.0
27,3906,201049.0,1.2346888,,,1.0,0.0,1.0
28,3906,201050.0,-0.3914939,,,0.0,0.0,1.0
29,3906,201051.0,1.9474237,,,1.0,0.0,1.0
30,3906,201052.0,1.5951524,,,1.0,0.0,1.0
31,3906,201053.0,-1.6735976,,,1.0,0.0,1.0
32,3906,201101.0,1.3002275,,,1.0,0.0,1.0
33,3906,201102.0,2.4963114,,,1.0,0.0,1.0
34,3906,201103.0,2.3529453,,,1.0,0.0,1.0
35,3906,201104.0,0.43183786,,,1.0,0.0,1.0
36,3906,201105.0,-1.6695013,,,1.0,0.0,1.0
